FRAME,LOWER BODY,UPPER BODY,PCLJ
1,4,1,0.416666667
2,4,1,0.416666667
3,3,3,0.5
4,3,4,0.583333333
5,3,4,0.583333333
6,3,4,0.583333333
7,3,2,0.416666667
8,3,1,0.333333333
9,6,2,0.666666667
10,5,1,0.5
11,4,2,0.5
12,4,2,0.5
13,4,2,0.5
14,4,1,0.416666667
15,4,1,0.416666667
16,4,2,0.5
17,4,1,0.416666667
18,4,2,0.5
19,4,2,0.5
20,6,2,0.666666667
21,6,2,0.666666667
22,6,2,0.666666667
23,4,2,0.5
24,6,0,0.5
25,3,1,0.333333333
26,4,2,0.5
27,6,1,0.583333333
28,6,2,0.666666667
29,4,1,0.416666667
30,4,1,0.416666667
31,4,1,0.416666667
32,4,2,0.5
33,4,5,0.75
34,4,1,0.416666667
35,2,1,0.25
36,3,2,0.416666667
37,1,6,0.583333333
38,4,2,0.5
39,3,3,0.5
40,3,2,0.416666667
41,4,4,0.666666667
42,3,2,0.416666667
43,2,3,0.416666667
44,4,3,0.583333333
45,4,1,0.416666667
46,5,3,0.666666667
47,5,4,0.75
48,6,2,0.666666667
49,6,1,0.583333333
50,6,2,0.666666667
51,6,2,0.666666667
52,6,3,0.75
53,6,3,0.75
54,4,1,0.416666667
55,5,2,0.583333333
56,3,3,0.5
57,4,2,0.5
58,4,3,0.583333333
59,5,1,0.5
60,4,1,0.416666667
61,5,1,0.5
62,6,1,0.583333333
63,6,1,0.583333333
64,5,0,0.416666667
65,0,0,0
66,6,3,0.75
67,5,1,0.5
68,6,1,0.583333333
69,6,2,0.666666667
70,6,2,0.666666667
71,6,0,0.5
72,5,0,0.416666667
73,4,1,0.416666667
74,4,3,0.583333333
75,4,3,0.583333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
